name,slug,url,vendor_id,business_type,email,whatsapp_number,website,instagram,facebook,description,package_title,package_duration,package_price,package_details,photobook_count,average_rating,review_count,scraped_at
De Pair,depair,https://wedded.sg/photographers/depair,019a8b95-0f42-7808-8e68-baaf83e7d5b9,photographer,team@wedded.sg,,https://www.depairsg.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/depair.sg,Actual Day Wedding,Photographer,6 hours,"$1,988SGD",2 photographers | Above 360 coloured images | Keepsake box with 5 4R prints | All raws returned upon request,9,,0,2026-02-08T03:05:40.024186Z
De Pair,depair,https://wedded.sg/photographers/depair,019a8b95-0f42-7808-8e68-baaf83e7d5b9,photographer,team@wedded.sg,,https://www.depairsg.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/depair.sg,Actual Day Wedding,Photographer,8 hours,"$2,188SGD",2 photographers | Above 500 coloured images | Keepsake box with 5 4R prints | All raws returned upon request,9,,0,2026-02-08T03:05:40.024186Z
De Pair,depair,https://wedded.sg/photographers/depair,019a8b95-0f42-7808-8e68-baaf83e7d5b9,photographer,team@wedded.sg,,https://www.depairsg.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/depair.sg,Actual Day Wedding,Photographer (No Hour Restriction),12 hours,"$2,488SGD",2 photographers | Above 600 coloured images | Keepsake box with 5 4R prints | All raws returned upon request,9,,0,2026-02-08T03:05:40.024186Z
Synchronal Photography,synchronal-photography,https://wedded.sg/photographers/synchronal-photography,019a8c42-4754-7130-83a6-c905c3070936,photographer,team@wedded.sg,,https://www.thesynchronal.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/synchronalphotography/,Founder,,,,,9,,0,2026-02-08T03:05:40.565514Z
With Twenty Two Photography,with-twenty-two-photography,https://wedded.sg/photographers/with-twenty-two-photography,019a892a-2910-797c-869f-897bf2d22d81,photographer,team@wedded.sg,,https://www.withtwentytwo.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/withtwentytwo,Lead Photographer,Actual Day Wedding,6 hours,"$2,000SGD",Photos in 2-3 months | Comes with Personalised Wooden Keepsake Box inclusive of Thumbdrive + Photo Prints,9,,0,2026-02-08T03:05:39.615162Z
With Twenty Two Photography,with-twenty-two-photography,https://wedded.sg/photographers/with-twenty-two-photography,019a892a-2910-797c-869f-897bf2d22d81,photographer,team@wedded.sg,,https://www.withtwentytwo.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/withtwentytwo,Lead Photographer,Actual Day Wedding,8 hours,"$2,500SGD",Photos in 2-3 months | Comes with Personalised Wooden Keepsake Box inclusive of Thumbdrive + Photo Prints,9,,0,2026-02-08T03:05:39.615162Z
With Twenty Two Photography,with-twenty-two-photography,https://wedded.sg/photographers/with-twenty-two-photography,019a892a-2910-797c-869f-897bf2d22d81,photographer,team@wedded.sg,,https://www.withtwentytwo.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/withtwentytwo,Lead Photographer,Actual Day Wedding,10 hours,"$3,000SGD",Photos in 2-3 months | Comes with Personalised Wooden Keepsake Box inclusive of Thumbdrive + Photo Prints,9,,0,2026-02-08T03:05:39.615162Z
With Twenty Two Photography,with-twenty-two-photography,https://wedded.sg/photographers/with-twenty-two-photography,019a892a-2910-797c-869f-897bf2d22d81,photographer,team@wedded.sg,,https://www.withtwentytwo.com/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/withtwentytwo,Lead Photographer,Actual Day Wedding,12 hours,"$3,500SGD",Photos in 2-3 months | Comes with Personalised Wooden Keepsake Box inclusive of Thumbdrive + Photo Prints,9,,0,2026-02-08T03:05:39.615162Z
Said & Meant,said-and-meant,https://wedded.sg/photographers/said-and-meant,019b2159-25dc-787d-877e-695bf4ae39f9,photographer,team@wedded.sg,,https://www.saidandmeant.co/,https://www.instagram.com/p/DUKPqI9j_s4,https://www.facebook.com/saidandmeant/,Lead Photographer,,,,,9,,0,2026-02-08T03:05:39.531430Z
A Merry Mayhem,a-merry-mayhem,https://wedded.sg/photographers/a-merry-mayhem,019a892d-bb7d-7051-8cfc-a9fed16e801c,photographer,team@wedded.sg,,https://www.amerrymayhem.com/,https://www.instagram.com/p/DUKPqI9j_s4,,Director Photographer,Bliss - Director Photographer,6 hours,"$2,198SGD",400 edited photos  | Professional editing | Personal online gallery (6 months),9,,0,2026-02-08T03:05:40.565655Z
